StormID,StormName,PAGASA_Name,Timestamp,Latitude,Longitude,Pressure_hPa
5101,UNNAMED,,1951021906,20.0,138.5,1010
5101,UNNAMED,,1951021912,20.0,138.5,1010
5101,UNNAMED,,1951021918,23.0,142.1,1000
5101,UNNAMED,,1951022000,25.0,146.0,994
5101,UNNAMED,,1951022006,27.6,150.6,994
5101,UNNAMED,,1951022012,28.9,153.3,994
5101,UNNAMED,,1951022018,31.3,157.5,992
5101,UNNAMED,,1951022100,32.6,162.1,990
5101,UNNAMED,,1951022106,33.9,166.0,990
5101,UNNAMED,,1951022112,36.0,170.0,990
5102,GEORGIA,,1951031806,5.7,158.3,1002
5102,GEORGIA,,1951031812,6.0,159.4,1002
5102,GEORGIA,,1951031818,6.4,160.4,1000
5102,GEORGIA,,1951031900,6.7,161.4,1000
5102,GEORGIA,,1951031906,7.0,162.5,998
5102,GEORGIA,,1951031912,7.3,163.5,998
5102,GEORGIA,,1951031918,7.5,164.7,994
5102,GEORGIA,,1951032000,7.6,166.2,990
5102,GEORGIA,,1951032006,7.8,167.4,990
5102,GEORGIA,,1951032012,8.0,168.5,985
5102,GEORGIA,,1951032018,8.2,169.5,980
5102,GEORGIA,,1951032100,8.5,170.5,980
5102,GEORGIA,,1951032106,8.8,171.6,978
5102,GEORGIA,,1951032112,9.1,171.9,978
5102,GEORGIA,,1951032118,9.4,172.2,978
5102,GEORGIA,,1951032200,9.8,172.2,970
5102,GEORGIA,,1951032206,10.2,172.0,970
5102,GEORGIA,,1951032212,10.3,171.7,970
5102,GEORGIA,,1951032218,10.5,171.4,970
5102,GEORGIA,,1951032300,10.7,171.1,970
5102,GEORGIA,,1951032306,11.0,170.7,975
5102,GEORGIA,,1951032312,11.3,169.6,980
5102,GEORGIA,,1951032318,11.0,168.4,985
5102,GEORGIA,,1951032400,10.5,166.8,985
5102,GEORGIA,,1951032406,10.3,165.2,985
5102,GEORGIA,,1951032412,10.2,163.6,990
5102,GEORGIA,,1951032418,10.3,162.6,995
5102,GEORGIA,,1951032500,10.7,162.2,1000
5102,GEORGIA,,1951032506,11.2,161.7,1000
5102,GEORGIA,,1951032512,11.3,161.2,1004
5102,GEORGIA,,1951032518,11.3,160.3,1004
5102,GEORGIA,,1951032600,10.9,159.5,1006
5102,GEORGIA,,1951032606,10.5,158.7,1006
5102,GEORGIA,,1951032612,10.2,157.8,1006
5102,GEORGIA,,1951032618,10.0,156.8,1006
5102,GEORGIA,,1951032700,10.0,155.9,1006
5102,GEORGIA,,1951032706,10.0,155.0,1006
5103,HOPE,,1951041500,8.0,151.5,1002
5103,HOPE,,1951041506,8.3,150.3,1002
